"","clearinghouse_id","system_name","county","population","service_connections","total_population","clearinghouse_water_type","pop_cat"
"1","CA0710002","GOLDEN STATE WATER COMPANY - BAY POINT","CONTRA COSTA",23693,5070,23693,"Consecutive Connections,Groundwater & GWUDI","large"
"2","CA1000471","FCSA #39 A&B","FRESNO",395,141,395,"Consecutive Connections","very_small"
"3","CA1009214","WESTSIDE HARVESTING","FRESNO",72,24,72,"Surface Water","very_small"
"4","CA1009222","TERRA LINDA FARMS","FRESNO",80,12,80,"Surface Water","very_small"
"5","CA1000359","FCSA #32/CANTUA CREEK","FRESNO",462,79,462,"Surface Water","very_small"
"6","CA1000345","PANOCHE WATER DISTRICT","FRESNO",146,50,146,"Surface Water","very_small"
"7","CA1510018","ROSAMOND CSD","KERN",17516,5280,17516,"Consecutive Connections,Groundwater & GWUDI","large"
"8","CA1510006","EAST NILES CSD","KERN",32517,8126,32517,"Consecutive Connections,Groundwater & GWUDI","large"
"9","CA1510045","GOLDEN HILLS CSD","KERN",9808,2972,9808,"Consecutive Connections,Groundwater & GWUDI","medium"
"10","CA1510052","NORTH EDWARDS WD","KERN",716,217,716,"Consecutive Connections,Groundwater & GWUDI","small"
"11","CA1510004","CASA LOMA WATER CO, INC.","KERN",900,248,900,"Consecutive Connections,Groundwater & GWUDI","small"
"12","CA1503270","LAKE ISABELLA COMMUNITY SERVICES DIST","KERN",500,130,500,"Consecutive Connections","very_small"
"13","CA1500584","GOOSELAKE WATER COMPANY","KERN",90,32,90,"Consecutive Connections,Groundwater & GWUDI","very_small"
"14","CA1500546","HARVEST MOON MUTUAL WATER CO","KERN",138,49,138,"Consecutive Connections,Groundwater & GWUDI","very_small"
"15","CA1910127","COVINA-CITY, WATER DEPT.","LOS ANGELES",33300,8612,33300,"Consecutive Connections","large"
"16","CA1910166","VALLEY WATER CO.","LOS ANGELES",10070,3611,10070,"Consecutive Connections,Groundwater & GWUDI","large"
"17","CA1910239","LAKEWOOD - CITY, WATER DEPT.","LOS ANGELES",63066,19991,63066,"Consecutive Connections,Groundwater & GWUDI","large"
"18","CA1910191","NORWALK - CITY, WATER DEPT.","LOS ANGELES",17790,5398,17790,"Consecutive Connections,Groundwater & GWUDI","large"
"19","CA1910146","SANTA MONICA-CITY, WATER DIVISION","LOS ANGELES",93076,17020,93076,"Consecutive Connections,Groundwater & GWUDI","large"
"20","CA1910161","LIBERTY UTILITIES - LYNWOOD","LOS ANGELES",24171,4481,24171,"Consecutive Connections,Groundwater & GWUDI","large"
"21","CA1910047","HAWTHORNE-CITY WATER DEPT.","LOS ANGELES",44729,6215,44729,"Consecutive Connections,Groundwater & GWUDI","large"
"22","CA1910173","WHITTIER-CITY, WATER DEPT.","LOS ANGELES",49954,11997,49954,"Consecutive Connections,Groundwater & GWUDI","large"
"23","CA1910203","LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM","LOS ANGELES",11183,2931,11183,"Consecutive Connections,Groundwater & GWUDI","large"
"24","CA1910083","MANHATTAN BEACH-CITY, WATER DEPT.","LOS ANGELES",34668,13258,34668,"Consecutive Connections,Groundwater & GWUDI","large"
"25","CA1910062","LA VERNE, CITY WD","LOS ANGELES",32206,8816,32206,"Consecutive Connections,Groundwater & GWUDI","large"
"26","CA1910004","GSWC - ARTESIA","LOS ANGELES",50230,10746,50230,"Consecutive Connections,Groundwater & GWUDI","large"
"27","CA1910130","QUARTZ HILL WATER DIST.","LOS ANGELES",19100,5807,19100,"Consecutive Connections,Groundwater & GWUDI","large"
"28","CA1910092","MONTEREY PARK-CITY, WATER DEPT.","LOS ANGELES",62183,14080,62183,"Consecutive Connections,Groundwater & GWUDI","large"
"29","CA1910139","CAL/AM WATER COMPANY - SAN MARINO","LOS ANGELES",47731,14255,47731,"Consecutive Connections,Groundwater & GWUDI","large"
"30","CA1910072","GSWC - WILLOWBROOK","LOS ANGELES",10615,1445,10615,"Consecutive Connections,Groundwater & GWUDI","large"
"31","CA1910063","LINCOLN AVENUE WATER CO.","LOS ANGELES",16126,4477,16126,"Consecutive Connections,Groundwater & GWUDI,Surface Water","large"
"32","CA1910255","SANTA CLARITA VALLEY W.A.-TESORO DIV.","LOS ANGELES",6453,1156,6453,"Consecutive Connections","medium"
"33","CA1910020","CAL-AM WATER COMPANY - EAST PASADENA","LOS ANGELES",9949,2979,9949,"Consecutive Connections,Groundwater & GWUDI","medium"
"34","CA1910050","COMMERCE-CITY, WATER DEPT.","LOS ANGELES",4207,983,4207,"Consecutive Connections,Groundwater & GWUDI","medium"
"35","CA1910060","LA PUENTE VALLEY CWD","LOS ANGELES",8213,2489,8213,"Consecutive Connections,Groundwater & GWUDI","medium"
