PWSID,System_Name,Report_Year
CA1910043,"GLENDALE-CITY, WATER DEPT.",2022
CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,2022
CA3610085,SAN ANTONIO WATER COMPANY,2023
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",2023
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",2023
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,2023
CA1009214,WESTSIDE HARVESTING,2023
CA3600087,DEER LODGE WATER SYSTEM,2023
CA1910173,"WHITTIER-CITY, WATER DEPT.",2023
CA1910050,"COMMERCE-CITY, WATER DEPT.",2023
CA3410704,SCWA MATHER-SUNRISE,2022
CA3610014,"COLTON, CITY OF",2022
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,2023
CA1009222,TERRA LINDA FARMS,2023
