clearinghouse_id,system_name,county,population,service_connections,total_population,clearinghouse_water_type
CA1010023,CITY OF ORANGE COVE,FRESNO,9780,1705,NA,Surface Water
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,459,191,459,"Consecutive Connections,Groundwater & GWUDI"
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,524,206,524,Consecutive Connections
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,344855,86695,344855,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,60215,18566,60215,"Consecutive Connections,Groundwater & GWUDI"
CA0110005,EAST BAY MUD,ALAMEDA,1430200,392288,1430200,"Consecutive Connections,Surface Water"
CA0110008,CITY OF PLEASANTON,ALAMEDA,79871,22815,79871,"Consecutive Connections,Groundwater & GWUDI"
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,40,12,40,"Groundwater & GWUDI,Surface Water"
CA0110006,CITY OF HAYWARD,ALAMEDA,159293,36659,159293,"Consecutive Connections,Groundwater & GWUDI"
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,98776,25229,98776,Consecutive Connections
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,342,121,342,Consecutive Connections
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,25,167,25,"Groundwater & GWUDI,Surface Water"
CA0110016,ALAMEDA POINT,ALAMEDA,1500,400,1500,Consecutive Connections
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,3553,331,3553,Surface Water
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,625,489,625,Surface Water
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,221,67,221,Consecutive Connections
CA0310002,"AWA, IONE",AMADOR,7227,2317,7227,Surface Water
CA0310011,FIRST MACE MEADOW # 1,AMADOR,838,339,838,Consecutive Connections
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,230,82,230,Consecutive Connections
CA0310003,"AWA, TANNER",AMADOR,4940,1747,4940,Surface Water
CA0310001,CITY OF JACKSON,AMADOR,4786,2211,4786,Consecutive Connections
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,1141,407,1141,Consecutive Connections
CA0310012,AWA BUCKHORN PLANT,AMADOR,8791,2738,8791,Surface Water
CA0310004,"PLYMOUTH, CITY OF",AMADOR,1060,520,1060,"Consecutive Connections,Groundwater & GWUDI"
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,868,263,868,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,12136,3141,12136,"Groundwater & GWUDI,Surface Water"
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,BUTTE,22664,6868,22727,Surface Water
CA0410012,SOUTH FEATHER W&P - BANGOR,BUTTE,73,22,76,Surface Water
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,150,13,150,"Groundwater & GWUDI,Surface Water"
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,4774,1732,4774,Surface Water
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,11545,5956,11545,Surface Water
CA0510006,CCWD - JENNY LIND,CALAVERAS,9861,3825,9861,Surface Water
CA0510003,"ANGELS, CITY OF",CALAVERAS,3836,2007,3836,Surface Water
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,361,298,361,Consecutive Connections
CA0510005,CCWD - WEST POINT,CALAVERAS,1043,569,1043,Surface Water
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,11056,3558,11056,"Groundwater & GWUDI,Surface Water"
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,9142,9368,6518,"Groundwater & GWUDI,Surface Water"
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,10900,3303,10900,"Consecutive Connections,Groundwater & GWUDI"
CA0510017,CCWD - COPPER COVE,CALAVERAS,5187,2714,5187,Surface Water
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,246,88,246,"Groundwater & GWUDI,Surface Water"
CA0110011,CITY OF LIVERMORE,ALAMEDA,35672,9932,35672,Consecutive Connections
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,320,102,320,"Consecutive Connections,Groundwater & GWUDI"
CA0510002,CALAVERAS PUD,CALAVERAS,6286,1954,6286,Surface Water
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,666,448,666,Surface Water
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,518,157,518,Surface Water
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,89,47,89,Surface Water
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,4793,1723,4793,"Consecutive Connections,Groundwater & GWUDI"
CA0710001,CITY OF ANTIOCH,CONTRA COSTA,115074,33464,115074,"Consecutive Connections,Surface Water"
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,549,202,549,Consecutive Connections
CA0710011,CCWD/BRENTWOOD WTP,CONTRA COSTA,1,1,1,"Consecutive Connections,Hauled Water"
CA0710006,CITY OF MARTINEZ,CONTRA COSTA,28518,10170,28518,Consecutive Connections
CA0710008,CITY OF PITTSBURG,CONTRA COSTA,62500,19483,62500,"Consecutive Connections,Groundwater & GWUDI"
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,CONTRA COSTA,23693,5070,23693,"Consecutive Connections,Groundwater & GWUDI"
CA0800555,GASQUET C.S.D.,DEL NORTE,785,228,785,Surface Water
CA0710003,CONTRA COSTA WATER DISTRICT,CONTRA COSTA,198000,60593,198000,"Consecutive Connections,Surface Water"
CA0710007,DIABLO WATER DISTRICT,CONTRA COSTA,43357,13366,43357,"Consecutive Connections,Groundwater & GWUDI"
CA0810003,BERTSCH OCEAN VIEW CSD,DEL NORTE,2489,705,2489,Consecutive Connections
CA0710004,BRENTWOOD,CONTRA COSTA,64342,21143,64342,"Consecutive Connections,Groundwater & GWUDI"
CA1000005,BIG CREEK COMMUNITY SERV DIST,FRESNO,72,67,72,Consecutive Connections
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,EL DORADO,1093,623,1093,Surface Water
CA0910017,EL DORADO ID - STRAWBERRY,EL DORADO,400,149,400,Surface Water
CA0910019,LAKESIDE PARK ASSOCIATION,EL DORADO,2648,142,2648,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA0900300,KYBURZ MUTUAL WATER COMPANY,EL DORADO,150,118,150,"Groundwater & GWUDI,Surface Water"
CA0910001,EL DORADO ID - MAIN,EL DORADO,131527,42879,131527,Surface Water
