clearinghouse_id,system_name,county,population,service_connections,total_population,clearinghouse_water_type
CA1510040,KERN COUNTY WATER AGENCY,KERN,0,4,0,"Groundwater & GWUDI,Surface Water"
CA1510053,ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND,KERN,0,16,0,Surface Water
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,LOS ANGELES,0,7,0,Consecutive Connections
CA1910048,SANTA CLARITA VALLEY W.A.-IMPORTED DIVIS,LOS ANGELES,0,26,0,"Groundwater & GWUDI,Surface Water"
CA1910087,METROPOLITAN WATER DIST. OF SO. CAL.,LOS ANGELES,0,308,0,"Groundwater & GWUDI,Surface Water"
CA1910041,THREE VALLEYS MWD,LOS ANGELES,0,14,0,"Groundwater & GWUDI,Surface Water"
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,LOS ANGELES,0,21,0,"Consecutive Connections,Groundwater & GWUDI"
CA1910128,COVINA IRRIGATING CO.,LOS ANGELES,0,12,0,"Groundwater & GWUDI,Surface Water"
CA3310075,WESTERN MWD (ARLINGTON),RIVERSIDE,0,6,0,"Consecutive Connections,Groundwater & GWUDI"
CA3310083,CHINO BASIN DESALTER AUTH. - DESALTER 2,RIVERSIDE,0,7,0,"Consecutive Connections,Groundwater & GWUDI"
CA3710042,SAN DIEGO COUNTY WATER AUTHORITY,SAN DIEGO,0,98,0,"Consecutive Connections,Surface Water"
CA3710045,POSEIDON RESOURCES - CDP,SAN DIEGO,0,1,0,Surface Water
CA4310027,SANTA CLARA VALLEY WATER DISTRICT,SANTA CLARA,0,1,0,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA5010040,SOUTH SAN JOAQUIN IRRIGATION DISTRICT,STANISLAUS,0,8,0,Surface Water
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,LOS ANGELES,0,49,0,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3610006,WATER FACILITIES AUTHORITY-JPA,SAN BERNARDINO,0,6,0,"Consecutive Connections,Surface Water"
CA5710012,WOODLAND-DAVIS CLEAN WATER AGENCY,YOLO,0,2,0,Surface Water
CA0710011,CCWD/BRENTWOOD WTP,CONTRA COSTA,1,1,1,"Consecutive Connections,Hauled Water"
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,CONTRA COSTA,1,1,1,Consecutive Connections
CA3810008,THOMAS SHAFT WHOLESALE,SAN JOAQUIN,1,1,1,Consecutive Connections
CA4810015,TRAVIS AFB WTP - VALLEJO,SOLANO,3,1,3,Surface Water
CA3301226,MWD - EAGLE MOUNTAIN,RIVERSIDE,16,25,16,Surface Water
CA5010038,MODESTO IRRIGATION DISTRICT,STANISLAUS,18,2,18,Surface Water
CA3510007,SAN BENITO COUNTY WATER DISTRICT,SAN BENITO,25,2,25,Surface Water
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,SAN BERNARDINO,25,36,25,"Consecutive Connections,Groundwater & GWUDI"
CA1009039,PAPPAS & CO (MENDOTA),FRESNO,27,13,27,Surface Water
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",LOS ANGELES,29,19,29,Surface Water
CA3600382,MWD OF SO CAL IRON MOUNTAIN,SAN BERNARDINO,31,38,31,Surface Water
CA3110124,PLACER CWA - MONTE VISTA,PLACER,34,18,34,Surface Water
CA2800527,LINDA FALLS TERRACE MUTUAL,NAPA,35,17,35,"Consecutive Connections,Groundwater & GWUDI"
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,40,12,40,"Groundwater & GWUDI,Surface Water"
CA4300740,MOUNTAIN SPRINGS MUTUAL WATER COMPANY,SANTA CLARA,40,18,40,"Consecutive Connections,Groundwater & GWUDI"
CA3301937,MESQUITE MUTUAL WATER CO.,RIVERSIDE,42,16,42,Consecutive Connections
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",LOS ANGELES,44,17,44,Surface Water
CA1500543,AGAPE MUTUAL WATER SYSTEM,KERN,50,16,50,"Consecutive Connections,Groundwater & GWUDI"
CA3910006,STOCKTON EAST WATER DISTRICT,SAN JOAQUIN,50,3,50,"Groundwater & GWUDI,Surface Water"
CA5010043,STANISLAUS REGIONAL WATER AUTHORITY,STANISLAUS,50,3,50,Surface Water
